"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка авторизации пользователя при введении невалидных данных","642","Неуспешная авторизация","tests","2026-06-11","passed","2026-06-11","","test_form","",""
"Авторизация пользователя при введении валидных данных","1615","Успешная авторизация","tests","2026-06-11","passed","2026-06-11","","test_form","",""
